command_at_incident,command_fullname,zipcode,complaint_id
DBM ZN2,Detective Borough Manhattan Zone 2,,1
068 DET,068 Detective Squad,,1
ND NMI,,,1
070 DET,070 Detective Squad,,1
O C I D,,,1
OMAP,OMAP,,1
DB BX,Detective Borough Bronx,,1
DB BSVS,,,1
032 DET,032 Detective Squad,,1
PBQS SC,,,1
DA QNS,DA QNS,,1
028 DET,028 Detective Squad,,1
GANG DV,Gang Division,,1
